measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
2,DALYs (Disability-Adjusted Life Years),25333,Gombe,1,Male,23,5-14 years,345,Malaria,3,Rate,2014,2101.9288750732703,4022.8205940573275,863.5396091976133
2,DALYs (Disability-Adjusted Life Years),25333,Gombe,2,Female,23,5-14 years,345,Malaria,3,Rate,2014,1634.4370698393666,3021.837804846597,802.8555374606484
2,DALYs (Disability-Adjusted Life Years),25333,Gombe,1,Male,24,15-49 years,345,Malaria,3,Rate,2014,2158.3044155090747,3470.7506946466583,920.5386616240072
2,DALYs (Disability-Adjusted Life Years),25333,Gombe,2,Female,24,15-49 years,345,Malaria,3,Rate,2014,1651.640167675485,2744.0886742247226,775.7239150621477
2,DALYs (Disability-Adjusted Life Years),25333,Gombe,1,Male,25,50-69 years,345,Malaria,3,Rate,2014,3661.0129762193196,6674.703083917917,1451.3150517382699
2,DALYs (Disability-Adjusted Life Years),25333,Gombe,2,Female,25,50-69 years,345,Malaria,3,Rate,2014,4284.096229766431,6772.131134334074,1727.0060475892797
2,DALYs (Disability-Adjusted Life Years),25350,Rivers,1,Male,23,5-14 years,345,Malaria,3,Rate,2013,4269.632266710538,7360.922365854314,1900.7083151508648
2,DALYs (Disability-Adjusted Life Years),25350,Rivers,2,Female,23,5-14 years,345,Malaria,3,Rate,2013,4541.681100442653,7536.659679434219,1905.2497719403802
2,DALYs (Disability-Adjusted Life Years),25350,Rivers,1,Male,24,15-49 years,345,Malaria,3,Rate,2013,3348.879315798427,5434.861866459561,1243.4988976990355
2,DALYs (Disability-Adjusted Life Years),25350,Rivers,2,Female,24,15-49 years,345,Malaria,3,Rate,2013,2802.0442996352394,4928.41395274065,959.9303333827135
2,DALYs (Disability-Adjusted Life Years),25350,Rivers,1,Male,25,50-69 years,345,Malaria,3,Rate,2013,9517.00111885333,14768.09616163064,3600.848908336369
2,DALYs (Disability-Adjusted Life Years),25350,Rivers,2,Female,25,50-69 years,345,Malaria,3,Rate,2013,6981.341794707831,11593.605575860125,2382.597982273127
2,DALYs (Disability-Adjusted Life Years),25327,Delta,1,Male,23,5-14 years,297,Tuberculosis,3,Rate,2015,365.90158702646846,563.7974450582518,237.52070595841022
2,DALYs (Disability-Adjusted Life Years),25327,Delta,2,Female,23,5-14 years,297,Tuberculosis,3,Rate,2015,315.55959183845584,478.58279381213225,190.96243510462796
2,DALYs (Disability-Adjusted Life Years),25327,Delta,1,Male,24,15-49 years,297,Tuberculosis,3,Rate,2015,1433.8587057160007,2216.2271479695305,915.4440415532489
2,DALYs (Disability-Adjusted Life Years),25327,Delta,2,Female,24,15-49 years,297,Tuberculosis,3,Rate,2015,735.4717001579455,1107.3683902904902,430.33431441505286
2,DALYs (Disability-Adjusted Life Years),25327,Delta,1,Male,25,50-69 years,297,Tuberculosis,3,Rate,2015,4078.75519362784,6204.446129652049,2568.603561717053
2,DALYs (Disability-Adjusted Life Years),25327,Delta,2,Female,25,50-69 years,297,Tuberculosis,3,Rate,2015,1497.7379657404945,2542.397124544562,827.8954377120759
2,DALYs (Disability-Adjusted Life Years),25327,Delta,1,Male,23,5-14 years,298,HIV/AIDS,3,Rate,2015,547.0956975046233,1212.970736227366,205.18319232573955
2,DALYs (Disability-Adjusted Life Years),25327,Delta,2,Female,23,5-14 years,298,HIV/AIDS,3,Rate,2015,499.83851701964636,1054.7025614663523,165.9712758142143
2,DALYs (Disability-Adjusted Life Years),25327,Delta,1,Male,24,15-49 years,298,HIV/AIDS,3,Rate,2015,3991.794668530204,6801.440430985439,1420.8624365300848
2,DALYs (Disability-Adjusted Life Years),25327,Delta,2,Female,24,15-49 years,298,HIV/AIDS,3,Rate,2015,3401.223943390501,6485.069065759746,1430.2702786269344
2,DALYs (Disability-Adjusted Life Years),25327,Delta,1,Male,25,50-69 years,298,HIV/AIDS,3,Rate,2015,5756.1738036739625,12141.629195337453,1515.645210098086
2,DALYs (Disability-Adjusted Life Years),25327,Delta,2,Female,25,50-69 years,298,HIV/AIDS,3,Rate,2015,2884.5006791774845,6161.497886252508,900.620245173168
2,DALYs (Disability-Adjusted Life Years),25339,Kebbi,1,Male,23,5-14 years,345,Malaria,3,Rate,2013,3752.926976380183,6336.025710677173,2036.6060469129682
2,DALYs (Disability-Adjusted Life Years),25339,Kebbi,2,Female,23,5-14 years,345,Malaria,3,Rate,2013,2604.577623365685,4651.633768357051,1500.2307033811774
2,DALYs (Disability-Adjusted Life Years),25339,Kebbi,1,Male,24,15-49 years,345,Malaria,3,Rate,2013,2974.286540532947,4231.81495550647,1789.8459372589398
2,DALYs (Disability-Adjusted Life Years),25339,Kebbi,2,Female,24,15-49 years,345,Malaria,3,Rate,2013,2364.94366587151,3736.3343696487473,1500.4744946918438
2,DALYs (Disability-Adjusted Life Years),25339,Kebbi,1,Male,25,50-69 years,345,Malaria,3,Rate,2013,4552.673771143077,7280.052387550529,2310.826447050615
2,DALYs (Disability-Adjusted Life Years),25339,Kebbi,2,Female,25,50-69 years,345,Malaria,3,Rate,2013,5106.187228859852,6339.197560359631,3976.4937923775683
2,DALYs (Disability-Adjusted Life Years),25350,Rivers,1,Male,23,5-14 years,297,Tuberculosis,3,Rate,2013,469.0920393710396,697.299589933069,265.49741572017047
